snapped_at,price (open),market_cap,total_volume
2022-06-29 00:00:00 UTC,0.076425294,1510253.024,48.68679829
2022-06-30 00:00:00 UTC,0.072869614,1440532.714,119.2948572
2022-07-01 00:00:00 UTC,0.070701137,1397714.19,48.01345154
2022-07-02 00:00:00 UTC,0.074572227,1474243.061,48.1506241
2022-07-03 00:00:00 UTC,0.069947689,1382819.038,70.03621004
2022-07-04 00:00:00 UTC,0.069731529,1378264.411,121.7786873
2022-07-05 00:00:00 UTC,0.073109124,1445318.492,57.21769626
2022-07-06 00:00:00 UTC,0.076793014,1518146.538,342.8448699
2022-07-07 00:00:00 UTC,0.084388136,1666737.626,196.1689635
2022-07-08 00:00:00 UTC,0.086904596,1719628.438,149.4809389
2022-07-09 00:00:00 UTC,0.087599709,1731787.672,83.1437748
2022-07-10 00:00:00 UTC,0.08664315,1712877.136,73.45265298
2022-07-11 00:00:00 UTC,0.087428226,1728308.769,82.31582996
2022-07-12 00:00:00 UTC,0.082407799,1629046.793,223.3361741
2022-07-13 00:00:00 UTC,0.079592012,1575554.55,92.92984075
2022-07-14 00:00:00 UTC,0.083625795,1652373.451,243.9589982
2022-07-15 00:00:00 UTC,0.079453939,1570751.247,151.5291505
2022-07-16 00:00:00 UTC,0.076225547,1504915.329,74.91305045
2022-07-17 00:00:00 UTC,0.077570305,1533049.222,73.83801444
2022-07-18 00:00:00 UTC,0.075104088,1486088.074,236.8955418
2022-07-19 00:00:00 UTC,0.080782265,1591277.063,8.785009231
2022-07-20 00:00:00 UTC,0.084334195,1665321.914,465.3898153
2022-07-21 00:00:00 UTC,0.083029996,1643518.964,27.0472601
2022-07-22 00:00:00 UTC,0.081976047,1621327.429,26.66122074
2022-07-23 00:00:00 UTC,0.069911474,1382037.885,79.33364362
2022-07-24 00:00:00 UTC,0.069538515,1374729.929,10.87053131
2022-07-25 00:00:00 UTC,0.070321045,1396910.816,70.35172893
2022-07-26 00:00:00 UTC,0.066139407,1307531.842,157.7663712
2022-07-27 00:00:00 UTC,0.067295969,1330437.752,167.395092
2022-07-28 00:00:00 UTC,0.075765448,1496556.967,218.3411794
2022-07-29 00:00:00 UTC,0.080025377,1581434.275,183.6877798
2022-07-30 00:00:00 UTC,0.080446013,1603340.655,38.82327031
2022-07-31 00:00:00 UTC,0.079681728,1575254.472,234.5200995
2022-08-01 00:00:00 UTC,0.080213214,1586332.035,204.821446
2022-08-02 00:00:00 UTC,0.072034689,1423454.75,27.12149414
2022-08-03 00:00:00 UTC,0.069567241,1377108.08,246.590639
2022-08-04 00:00:00 UTC,0.068806333,1359089.648,191.972865
2022-08-05 00:00:00 UTC,0.069585669,1375662.141,729.5897656
2022-08-06 00:00:00 UTC,0.072074356,1425452.983,40.93481915
2022-08-07 00:00:00 UTC,0.070319246,1390651.845,42.29771738
2022-08-08 00:00:00 UTC,0.070161987,1387668.472,29.38767606
2022-08-09 00:00:00 UTC,0.072128121,1426838.679,21.33140119
2022-08-10 00:00:00 UTC,0.070378738,1391059.054,67.16898439
2022-08-11 00:00:00 UTC,0.072287158,1428527.936,192.5261849
2022-08-12 00:00:00 UTC,0.072559653,1434518.047,174.6429679
2022-08-13 00:00:00 UTC,0.072247691,1429023.341,67.74925692
2022-08-14 00:00:00 UTC,0.074238642,1467845.912,361.8880031
2022-08-15 00:00:00 UTC,0.071723004,1417970.856,121.1580378
2022-08-16 00:00:00 UTC,0.071248073,1409089.809,119.8721773
2022-08-17 00:00:00 UTC,0.078218093,1545296.334,70.4215289
2022-08-18 00:00:00 UTC,0.071034327,1405120.674,158.017697
2022-08-19 00:00:00 UTC,0.067403581,1331899.106,147.5225737
2022-08-20 00:00:00 UTC,0.06553733,1296493.816,309.1695455
2022-08-21 00:00:00 UTC,0.057138763,1129098.378,32.28818434
2022-08-22 00:00:00 UTC,0.058780662,1162436.367,17.30033435
