Timezones are UTC,https://www.CryptoDataDownload.com,,,,,,,
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume MON,Volume AJPY
1522281600,3/29/2018,MONAJPY,370,372.5,321,328,144912,50292348.1
1522195200,3/28/2018,MONAJPY,365.6,378.9,350.1,370,93635,34413684.8
1522108800,3/27/2018,MONAJPY,375.4,379.8,358.7,365.6,74782,27408843.7
1522022400,3/26/2018,MONAJPY,384.9,390,350,375.4,160570,60539888.5
1521936000,3/25/2018,MONAJPY,386.1,398,380,384.9,82180,31751235.3
1521849600,3/24/2018,MONAJPY,402,410,385,386.1,73275,29120882.9
1521763200,3/23/2018,MONAJPY,401.1,407,375.7,402,93285,36498514.9
1521676800,3/22/2018,MONAJPY,421,429.8,390,401.1,82458,33734468.6
1521590400,3/21/2018,MONAJPY,438,440.2,417,421,85612,36794224.3
1521504000,3/20/2018,MONAJPY,444.8,449.5,406.1,438,187821,80157180.2
1521417600,3/19/2018,MONAJPY,390.8,450,388,444.8,242976,102049880.9
1521331200,3/18/2018,MONAJPY,374,398,308,390.8,272545,93630359.4
1521244800,3/17/2018,MONAJPY,405.1,414,371,374,118736,46595967.6
1521158400,3/16/2018,MONAJPY,413.8,423.9,397,405.1,134920,55252689.8
1521072000,3/15/2018,MONAJPY,423,429.9,390,413.8,159656,65525597.6
1520985600,3/14/2018,MONAJPY,454,469,412.3,423,157181,70424976.6
1520899200,3/13/2018,MONAJPY,447.1,464,446,454,99697,45329735.3
1520812800,3/12/2018,MONAJPY,444.3,469,441.1,447.1,158735,72247733.3
1520726400,3/11/2018,MONAJPY,439.9,451,430,444.3,129846,57109090.3
1520640000,3/10/2018,MONAJPY,457.5,474.9,438,439.9,143896,66004148.6
1520553600,3/9/2018,MONAJPY,466.3,483,410,457.5,299080,131621601.6
1520467200,3/8/2018,MONAJPY,454,509,450.1,466.3,249958,118127424.2
1520380800,3/7/2018,MONAJPY,534.8,546.9,450,454,240912,119757785.9
1520294400,3/6/2018,MONAJPY,571,573.3,530.3,534.8,156696,86717770.1
1520208000,3/5/2018,MONAJPY,590,597.8,567,571,136730,79196030.2
1520121600,3/4/2018,MONAJPY,573.6,590,558,590,156808,90098897.5
1520035200,3/3/2018,MONAJPY,577,594.9,566,573.6,130218,74984842.9
1519948800,3/2/2018,MONAJPY,588,592,575,577,97968,57210424.1
1519862400,3/1/2018,MONAJPY,582.9,591.5,578,588,77558,45374213.2
1519776000,2/28/2018,MONAJPY,595.8,615,581,582.9,130130,77826888
1519689600,2/27/2018,MONAJPY,602.5,618,590,595.8,156441,94369643.4
1519603200,2/26/2018,MONAJPY,587,613.8,566.5,602.5,161756,95573959.6
1519516800,2/25/2018,MONAJPY,599.6,600.5,551,587,172861,100278840.2
1519430400,2/24/2018,MONAJPY,609.5,618,580.1,599.6,183810,111252207.2
1519344000,2/23/2018,MONAJPY,580,627.2,550,609.5,247628,146749258.4
1519257600,2/22/2018,MONAJPY,603,635,540,580,247254,146046596.1
1519171200,2/21/2018,MONAJPY,635,650,560,603,307849,187042939.4
1519084800,2/20/2018,MONAJPY,674,687.8,630,635,221412,146484771.4
1518998400,2/19/2018,MONAJPY,605,685,589,674,334496,214578470.5
1518912000,2/18/2018,MONAJPY,704,705.1,580,605,533294,344345044.4
1518825600,2/17/2018,MONAJPY,735,740,663,704,582175,408862868.8
1518739200,2/16/2018,MONAJPY,552,735,548,735,908388,565534485.2
1518652800,2/15/2018,MONAJPY,513.2,560,502,552,616626,331144102.4
1518566400,2/14/2018,MONAJPY,451.7,519,451.5,513.2,349857,166936431.7
1518480000,2/13/2018,MONAJPY,484.9,489,441,451.7,285204,132019510.9
1518393600,2/12/2018,MONAJPY,422.1,488,422,484.9,320674,147217095.2
1518307200,2/11/2018,MONAJPY,470,471.5,415,422.1,261687,113474552.5
1518220800,2/10/2018,MONAJPY,443,500,433,470,477612,225114328
1518134400,2/9/2018,MONAJPY,404,448.9,390,443,290635,120298992.2
1518048000,2/8/2018,MONAJPY,373,429,371,404,419610,170410422.4
1517961600,2/7/2018,MONAJPY,412,428.9,373,373,418864,169614810.1
1517875200,2/6/2018,MONAJPY,354.1,430,334.4,412,424786,162277135.8
1517788800,2/5/2018,MONAJPY,424,445,351.2,354.1,366973,148311053.8
1517702400,2/4/2018,MONAJPY,485,497,405,424,312624,140955396
